"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"p53 signaling pathway"	66	4.3878	0.025713	0.073166	-4.2548	0.97334	1	16.728	0.00013955	0.00055997	35	14.495	0.0017436	0.0069969	31	9.0059	0.033588	0.14017
"2"	"mTOR signaling pathway"	147	0.26239	0.33722	0.60315	-0.26254	0.68916	1	18.143	0.011329	0.025149	76	11.955	0.4215	0.64476	71	13.738	0.001645	0.017162
"3"	"mRNA surveillance pathway"	88	5.0526	0.011028	0.034176	-4.854	0.98827	1	12.925	0.084926	0.14605	47	13.574	0.019563	0.051408	40	5.7556	0.55383	0.71632
"4"	"cGMP-PKG signaling pathway"	162	-0.89883	0.49518	0.7599	0.8987	0.53743	1	17.698	0.025878	0.051591	70	13.975	0.10036	0.20953	92	11.295	0.14298	0.31967
"5"	"cAMP signaling pathway"	185	1.4677	0.17602	0.36247	-1.4011	0.83527	1	18.317	0.043931	0.083335	89	14.701	0.15759	0.29691	96	11.273	0.15182	0.33702
"6"	"beta-Alanine metabolism"	31	-7.2634	0.99703	1	7.2634	0.0034266	0.042901	12.573	0.0015274	0.0043461	10	4.7747	0.41838	0.64476	21	11.981	0.00011589	0.0022672
"7"	"alpha-Linolenic acid metabolism"	22	-2.4479	0.80742	1	2.4479	0.19707	0.91563	2.9668	0.83258	0.89552	9	0.728	0.92	0.98367	13	3.2537	0.54054	0.70416
"8"	"Wnt signaling pathway"	139	-1.1999	0.55635	0.7988	1.1999	0.47392	1	12.238	0.55211	0.66466	71	6.6122	0.97435	0.9975	68	10.74	0.076538	0.2347
"9"	"Vitamin digestion and absorption"	23	-3.0063	0.86792	1	3.0063	0.14173	0.73934	7.7295	0.11015	0.18145	9	4.2807	0.45669	0.67039	14	6.4751	0.078913	0.23563
"10"	"Vitamin B6 metabolism"	8	-1.0077	0.62739	0.86891	1.0077	0.38133	1	4.4727	0.2363	0.33466	3	3.4972	0.28543	0.50856	5	2.9486	0.33515	0.54145
"11"	"Viral myocarditis"	71	6.1632	0.0027544	0.0091717	-6.1646	0.99734	1	9.5058	0.39968	0.50932	43	9.1538	0.40815	0.64091	28	3.7932	0.72935	0.87438
