"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"1"	"p53 signaling pathway"	66	0.32912	0.21693	1	-0.32912	0.78475	0.92689	2.7637	0.021521	0.04953	30	3.5671	0.027283	0.20202	36	0.48576	0.11759	0.1784
"2"	"mTOR signaling pathway"	147	-2.2236	0.85151	1	2.2236	0.15173	0.39218	4.9674	8.6874e-05	0.00082399	60	3.9349	0.0492	0.2565	87	3.1892	0.00075991	0.0038822
"3"	"mRNA surveillance pathway"	88	4.2981	3.1086e-05	0.0016216	-4.2981	0.99997	1	1.8086	0.050384	0.088596	55	4.6593	0.01242	0.13903	32	-1.658	0.54279	0.61385
"4"	"cGMP-PKG signaling pathway"	162	-0.68247	0.40275	1	0.68247	0.5996	0.80368	3.5567	0.0015354	0.0065831	78	2.9472	0.25494	0.57453	84	2.0993	0.0035197	0.012036
"5"	"cAMP signaling pathway"	185	-1.4188	0.59565	1	1.4188	0.40718	0.65023	1.298	0.050264	0.088596	79	1.987	0.54917	0.8072	106	-0.00054024	0.061992	0.11162
"6"	"beta-Alanine metabolism"	31	2.8196	0.0050207	0.11225	-2.8196	0.9948	1	1.1516	0.16281	0.22912	18	2.9466	0.072832	0.32785	13	-1.6889	0.66667	0.72275
"7"	"alpha-Linolenic acid metabolism"	22	0.80905	0.18353	1	-0.80905	0.81581	0.95636	-2.567	0.90359	0.93034	9	0.75478	0.47396	0.77431	13	-3.9674	0.95904	0.97471
"8"	"Wnt signaling pathway"	139	-1.732	0.72762	1	1.732	0.27663	0.51539	1.2814	0.068687	0.11256	54	2.4511	0.28066	0.58631	85	-0.31504	0.12386	0.18431
"9"	"Vitamin digestion and absorption"	23	-1.3758	0.78318	1	1.3758	0.21682	0.45067	-1.9927	0.83064	0.85805	8	-0.2731	0.78734	0.92401	15	-2.268	0.78529	0.82231
"10"	"Vitamin B6 metabolism"	8	-0.90961	0.69747	1	0.90961	0.30253	0.54421	1.7527	0.11009	0.16254	5	-0.15238	0.68965	0.87905	3	3.0589	0.020455	0.049315
"11"	"Viral myocarditis"	71	-4.052	0.99665	1	4.052	0.0033702	0.030139	1.7908	0.060337	0.10099	18	1.9813	0.23583	0.56419	53	0.91808	0.042505	0.084198
"12"	"Viral carcinogenesis"	209	-1.1305	0.52875	1	1.1305	0.47498	0.73236	3.7011	0.0011395	0.0056611	91	4.3716	0.045373	0.24756	118	1.0867	0.013785	0.036641
"13"	"Vasopressin-regulated water reabsorption"	42	-0.71122	0.5576	1	0.71122	0.44614	0.6982	2.0352	0.063086	0.10503	19	1.8183	0.2702	0.58121	23	1.0975	0.076266	0.12961
"14"	"Vascular smooth muscle contraction"	122	-0.56922	0.41126	1	0.56922	0.59183	0.80368	3.4952	0.0040529	0.013495	58	2.9083	0.18699	0.51774	64	2.0572	0.0077192	0.02253
"15"	"Valine, leucine and isoleucine degradation"	53	2.465	0.0091409	0.17252	-2.465	0.99096	1	4.2092	0.0020009	0.0077317	29	4.4893	0.0075889	0.10728	24	1.3202	0.06913	0.12216
"16"	"Valine, leucine and isoleucine biosynthesis"	3	0.23624	0.37568	1	-0.23624	0.62432	0.82453	-1.2702	0.75713	0.78994	1	0.45169	0.46581	0.77021	2	-1.875	0.79557	0.82241
"17"	"VEGF signaling pathway"	55	-0.012746	0.30665	1	0.012746	0.69386	0.87652	3.3744	0.0080836	0.023869	28	2.0973	0.25835	0.57586	27	2.6804	0.0089743	0.025843
"18"	"Ubiquitin mediated proteolysis"	136	0.37675	0.15646	1	-0.37675	0.8438	0.96744	4.9326	0.00010424	0.00090313	70	3.692	0.088833	0.36234	66	3.2785	0.0011009	0.0052674
